hs1 0 999999 9222.0000,420773.0000,1208799.0000,213128.0000,108186.0000,481101.0000,464547.0000,557339.0000,913286.0000,432837.0000,95555.0000,156803.0000,288088.0000,24789.0000,0.0000,3338.0000,178274.0000,285653.0000,0.0000,24199.0000,388071.0000,104737.0000,17090.0000,19956.0000
hs1 1000000 1999999 0.0000,0.0000,91580.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 2000000 2999999 0.0000,0.0000,135109.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 4000000 4999999 0.0000,0.0000,2025.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 5000000 5999999 0.0000,7193.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 6000000 6999999 0.0000,0.0000,31757.0000,7158.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 8000000 8999999 0.0000,29400.0000,2198.0000,4532.0000,4611.0000,0.0000,3466.0000,2306.0000,3522.0000,0.0000,3288.0000,1116.0000,2174.0000,0.0000,0.0000,3571.0000,23450.0000,2400.0000,2588.0000,0.0000,0.0000,0.0000,0.0000,1206.0000
hs1 9000000 9999999 0.0000,0.0000,0.0000,1969.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 11000000 11999999 0.0000,0.0000,0.0000,1919.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1903.0000,0.0000,0.0000,0.0000,0.0000,1901.0000,0.0000,0.0000,6339.0000,0.0000,0.0000,0.0000,1916.0000,0.0000,0.0000
hs1 12000000 12999999 0.0000,0.0000,698804.0000,1360.0000,0.0000,0.0000,2270.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1356.0000,1263.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
